item,reason
12357,no-data
12338,no-data
12403,no-data
12385,no-data
12417,stale
12415,no-data
12421,no-data
12420,no-data
12413,no-data
12440,no-data
12443,no-data
12453,no-data
12454,no-data
12468,no-data
12452,no-data
12482,no-data
12523,no-data
12526,no-data
12502,no-data
12461,no-data
12613,no-data
12614,no-data
12615,no-data
12616,no-data
12611,no-data
12593,no-data
12618,no-data
12610,no-data
12617,no-data
12619,no-data
12625,no-data
12624,no-data
12612,no-data
12620,no-data
12629,no-data
12628,no-data
12632,no-data
12633,no-data
12639,no-data
12641,no-data
12640,no-data
12686,no-data
12636,no-data
12729,no-data
12744,no-data
12742,no-data
12743,no-data
12747,no-data
12746,no-data
12772,no-data
12776,no-data
12763,no-data
12777,no-data
12781,no-data
12769,no-data
12767,no-data
12786,no-data
12783,no-data
12784,no-data
12788,no-data
12789,no-data
12764,no-data
12787,no-data
12790,no-data
12796,no-data
12792,no-data
12826,no-data
12830,stale
12821,no-data
12817,no-data
12851,no-data
12852,no-data
12853,no-data
12855,no-data
12854,no-data
12857,no-data
12837,stale
12856,no-data
12858,no-data
12859,no-data
12860,no-data
12850,no-data
12861,no-data
12862,no-data
12863,no-data
12838,no-data
12866,no-data
12869,no-data
12867,no-data
12865,no-data
12868,no-data
12870,no-data
12864,no-data
12883,no-data
12890,no-data
12893,no-data
12892,no-data
12882,no-data
12901,no-data
12889,no-data
12902,no-data
12932,no-data
12937,no-data
12934,no-data
12931,no-data
12933,no-data
12941,no-data
12904,no-data
12949,no-data
12950,no-data
12944,no-data
12959,no-data
12951,no-data
12948,no-data
12943,no-data
12971,no-data
13050,no-data
13061,no-data
13069,no-data
13104,no-data
13147,no-data
13160,no-data
13150,no-data
13165,no-data
13219,no-data
13221,no-data
13220,no-data
13222,no-data
13214,no-data
13290,no-data
13291,no-data
13292,no-data
13293,no-data
13294,no-data
13318,no-data
